campaign,stage,label,identity,strategy,policy,models,n,theorems,solves,coverage,cost,cost_per_solve,failed_cost,requests,auto_finished,missing_usage,max_cell_cost,input_cost,output_cost,large_context_requests
_smoke_launch,validation,{theorem}__core-medium__gpt-5.6-luna__seed*,55ace5d938ec5a2a6c02c4ac22a0a56120952374672596d895dfd557d9a9b73f,prove_theorem_agentic,prove_theorem_agentic_policy,gpt-5.6-luna,3,3,3,1.0,0.00562531,0.0018751033333333333,0,6,3,0,0.00517935,0.0015489100000000001,0.0040764,0
ace_adaptation_attribution-terra-20260912,train,step00_curator_{theorem},3b74671629ac0718e709ed492d44dacb72ece1be0ad1668bb92df3f04800df32,curate_playbook,curate_playbook_policy,gpt-5.6-terra,1,1,1,1.0,0.0066495,0.0066495,0,1,0,0,0.0066495,0.0031335,0.003516,0
ace_adaptation_attribution-terra-20260912,train,step00_generator_{theorem},47cd491bc7db84ca0e1b6342034c0d8f6a744e18a6752f47c643010e73e2e037,prove_theorem_ace,prove_theorem_ace_policy,gpt-5.6-terra,1,1,1,1.0,0.018788799999999998,0.018788799999999998,0,3,0,0,0.018788799999999998,0.0079528,0.010836,0
ace_adaptation_attribution-terra-20260912,train,step00_reducer_{theorem},8ea32999f9a62b8ac62bc7c952c82dcf9d423e35c49dbbdee1c403994f7f0bba,aggregate_curation_deltas,aggregate_curation_deltas_policy,gpt-5.6-terra,1,1,1,1.0,0.008932,0.008932,0,1,0,0,0.008932,0.002656,0.006276,0
ace_adaptation_attribution-terra-20260912,train,step00_reflector_{theorem},36daa40577a99a7946e66b33c3a8acdc72486c11153a7eb3ec9dba66d12abf83,reflect_on_trajectory,reflect_on_trajectory_policy,gpt-5.6-terra,1,1,1,1.0,0.016265,0.016265,0,1,0,0,0.016265,0.004421,0.011844,0
ace_adaptation_attribution-terra-20260912,train,step01_curator_{theorem},e3665ce5b2e8eb331350c4c0430863d3693df83913d01d78e8336f9743e641bd,curate_playbook,curate_playbook_policy,gpt-5.6-terra,1,1,1,1.0,0.017068,0.017068,0,1,0,0,0.017068,0.009076,0.007992,0
ace_adaptation_attribution-terra-20260912,train,step01_generator_{theorem},47cd491bc7db84ca0e1b6342034c0d8f6a744e18a6752f47c643010e73e2e037,prove_theorem_ace,prove_theorem_ace_policy,gpt-5.6-terra,1,1,1,1.0,0.44502949999999997,0.44502949999999997,0,26,0,0,0.44502949999999997,0.19024549999999996,0.25478400000000007,0
ace_adaptation_attribution-terra-20260912,train,step01_reflector_{theorem},91578a15895e03745d3856ff25ac2d96363c9b4c4a6ee0de7df37284b1f5d854,reflect_on_trajectory,reflect_on_trajectory_policy,gpt-5.6-terra,1,1,1,1.0,0.107296,0.107296,0,1,0,0,0.107296,0.086836,0.02046,0
ace_adaptation_attribution-terra-20260912,train,step02_curator_{theorem},fb67388f13e09f290da560fda5e96216024ab958fedf965c6ee0746a913fd445,curate_playbook,curate_playbook_policy,gpt-5.6-terra,1,1,1,1.0,0.0072095,0.0072095,0,1,0,0,0.0072095,0.0035735,0.003636,0
ace_adaptation_attribution-terra-20260912,train,step02_generator_{theorem},47cd491bc7db84ca0e1b6342034c0d8f6a744e18a6752f47c643010e73e2e037,prove_theorem_ace,prove_theorem_ace_policy,gpt-5.6-terra,1,1,1,1.0,0.0190635,0.0190635,0,3,0,0,0.0190635,0.008515499999999999,0.010548,0
