level,administrative,book,cached_input_tokens,carried,cost,exceptions,failed,identifier,input_tokens,model,new_charge,output_tokens,profile,requests,rocq_seconds,solved,source,status,theorem,token_cost
0,False,terra-fixed,146558.0,False,0.04102496,{},False,mathd_numbertheory_629__E-level0__gpt-5.6-luna__seed0,268969.0,gpt-5.6-luna,0.04102496,11343.0,E,21,22.412242342717946,False,experiments/output/ace_capacity_20260912/mechanisms/configs/mathd_numbertheory_629__E-level0__gpt-5.6-luna__seed0,done,mathd_numbertheory_629,0.04102496
0,False,terra,313262.0,False,0.03814143999999999,{},False,imo_1967_p3__B-level0__gpt-5.6-luna__seed0,410585.0,gpt-5.6-luna,0.03814143999999999,10343.0,B,23,2.492840443737805,False,experiments/output/ace_capacity_20260912/mechanisms/configs/imo_1967_p3__B-level0__gpt-5.6-luna__seed0,done,imo_1967_p3,0.03814144
0,False,terra-fixed,272427.0,False,0.3429974,{},False,imo_1967_p3__E-level0__gpt-5.6-terra__seed0,333025.0,gpt-5.6-terra,0.3429974,13943.0,E,24,2.0564525360241532,False,experiments/output/ace_capacity_20260912/mechanisms/configs/imo_1967_p3__E-level0__gpt-5.6-terra__seed0,done,imo_1967_p3,0.3429974
0,False,none,167371.0,False,0.3811662,{},False,algebra_amgm_sum1toneqn_prod1tonleq1__C-level0__gpt-5.6-terra__seed0,274233.0,gpt-5.6-terra,0.3811662,11164.0,C,20,3.8583285687491298,False,experiments/output/ace_capacity_20260912/mechanisms/configs/algebra_amgm_sum1toneqn_prod1tonleq1__C-level0__gpt-5.6-terra__seed0,done,algebra_amgm_sum1toneqn_prod1tonleq1,0.3811662
0,False,terra,329522.0,False,0.21377040000000003,{},False,algebra_amgm_sum1toneqn_prod1tonleq1__D-level0__gpt-5.6-terra__seed0,343587.0,gpt-5.6-terra,0.21377040000000003,9978.0,D,29,1.1162656182423234,True,experiments/output/ace_capacity_20260912/mechanisms/configs/algebra_amgm_sum1toneqn_prod1tonleq1__D-level0__gpt-5.6-terra__seed0,done,algebra_amgm_sum1toneqn_prod1tonleq1,0.21377040000000003
0,False,none,192557.0,False,0.42416739999999997,{},False,algebra_amgm_sum1toneqn_prod1tonleq1__A-level0__gpt-5.6-terra__seed0,288725.0,gpt-5.6-terra,0.42416739999999997,16110.0,A,22,3.116854961961508,False,experiments/output/ace_capacity_20260912/mechanisms/configs/algebra_amgm_sum1toneqn_prod1tonleq1__A-level0__gpt-5.6-terra__seed0,done,algebra_amgm_sum1toneqn_prod1tonleq1,0.42416739999999997
0,False,terra,583027.0,False,0.034160939999999994,{},False,amc12b_2002_p11__B-level0__gpt-5.6-luna__seed0,637581.0,gpt-5.6-luna,0.034160939999999994,9658.0,B,34,10.441759072244167,False,experiments/output/ace_capacity_20260912/mechanisms/configs/amc12b_2002_p11__B-level0__gpt-5.6-luna__seed0,done,amc12b_2002_p11,0.03416094
0,False,none,242702.0,False,0.03771684,{},False,imo_1967_p3__C-level0__gpt-5.6-luna__seed0,333630.0,gpt-5.6-luna,0.03771684,12231.0,C,23,1.5724972076714039,False,experiments/output/ace_capacity_20260912/mechanisms/configs/imo_1967_p3__C-level0__gpt-5.6-luna__seed0,done,imo_1967_p3,0.03771684
0,False,none,126495.0,False,0.0209851,{},False,mathd_numbertheory_48__A-level0__gpt-5.6-luna__seed0,172523.0,gpt-5.6-luna,0.0209851,7708.0,A,22,1.69186198618263,True,experiments/output/ace_capacity_20260912/mechanisms/configs/mathd_numbertheory_48__A-level0__gpt-5.6-luna__seed0,done,mathd_numbertheory_48,0.0209851
0,False,terra-fixed,263821.0,False,0.036604620000000004,{},False,amc12a_2020_p13__E-level0__gpt-5.6-luna__seed0,355908.0,gpt-5.6-luna,0.036604620000000004,10759.0,E,20,33.97188391722739,False,experiments/output/ace_capacity_20260912/mechanisms/configs/amc12a_2020_p13__E-level0__gpt-5.6-luna__seed0,done,amc12a_2020_p13,0.036604620000000004
0,False,terra,279609.0,False,0.36304179999999997,{},False,amc12a_2020_p13__D-level0__gpt-5.6-terra__seed0,344663.0,gpt-5.6-terra,0.36304179999999997,14751.0,D,24,75.1724534323439,False,experiments/output/ace_capacity_20260912/mechanisms/configs/amc12a_2020_p13__D-level0__gpt-5.6-terra__seed0,done,amc12a_2020_p13,0.36304179999999997
0,False,none,235951.0,False,0.3728562,{},False,amc12b_2002_p11__A-level0__gpt-5.6-terra__seed0,326568.0,gpt-5.6-terra,0.3728562,12036.0,A,25,18.360975107178092,False,experiments/output/ace_capacity_20260912/mechanisms/configs/amc12b_2002_p11__A-level0__gpt-5.6-terra__seed0,done,amc12b_2002_p11,0.37285619999999997
0,False,terra,42351.0,False,0.0056408199999999995,{},False,mathd_numbertheory_48__B-level0__gpt-5.6-luna__seed0,51680.0,gpt-5.6-luna,0.0056408199999999995,2440.0,B,7,1.1353309955447912,True,experiments/output/ace_capacity_20260912/mechanisms/configs/mathd_numbertheory_48__B-level0__gpt-5.6-luna__seed0,done,mathd_numbertheory_48,0.0056408199999999995
