file,file_sha256,book_sha256,id,section,content,helpful,harmful,observed_prompt_cells,observed_prompt_requests,limitation
experiments/playbooks/ace_digest_table.yaml,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,rocq-00001,pitfalls,"`norm_num` does not exist in this environment (rejected 17 times on this benchmark). The replacements that the verifier then accepted started with: `apply` (3), `lra` (2), `reflexivity` (2).",0,0,80,1224,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_digest_table.yaml,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,rocq-00002,pitfalls,"`positivity` does not exist in this environment (rejected 8 times on this benchmark). The replacements that the verifier then accepted started with: `assert` (5), `assert … by` (2).",0,0,80,1224,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_digest_table.yaml,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,rocq-00003,pitfalls,"`omega` does not exist in this environment (rejected 8 times on this benchmark). The replacements that the verifier then accepted started with: `destruct` (2), `assert … by` (2), `intuition` (1).",0,0,80,1224,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_digest_table.yaml,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,rocq-00004,pitfalls,`by_contra` does not exist in this environment (rejected 4 times on this benchmark). The replacements that the verifier then accepted started with: `destruct` (3).,0,0,80,1224,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_digest_table.yaml,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,rocq-00005,pitfalls,"`interval_cases` does not exist in this environment (rejected 4 times on this benchmark). The replacements that the verifier then accepted started with: `destruct` (1), `repeat … in` (1).",0,0,80,1224,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_digest_table.yaml,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,rocq-00006,pitfalls,"`functional_extensionality` does not exist in this environment (rejected 4 times on this benchmark). The replacements that the verifier then accepted started with: `apply` (2), `repeat` (1).",0,0,80,1224,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_digest_table.yaml,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,rocq-00007,pitfalls,"When `ring` was rejected with 'not a valid ring equation', the replacements the verifier then accepted on this benchmark (6 repairs) started with: `assert … by` (3), `remember` (1), `assert` (1).",0,0,80,1224,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_digest_table.yaml,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,ca62b40ba633e3c6b3954609f77cb2d1b0688e65a716627b9a7dd08a70473915,rocq-00008,pitfalls,"When `apply`/`exact` was rejected with 'Unable to unify', the replacements the verifier then accepted on this benchmark (32 repairs) started with: `assert` (6), `rewrite` (5), `replace … by` (4).",0,0,80,1224,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00001,lemmas,"`Rle_0_sqr r` proves nonnegativity of `r²` (the `Rsqr` notation, definitionally `r * r`); when the goal is `0 <= r ^ 2`, first assert `r ^ 2 = r * r` by `ring`, rewrite, and apply the lemma.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00002,tactics,"For a goal of the form `x <= x + s` from `Hs : 0 <= s`, generalize `x`, introduce it explicitly, use `apply Rle_trans with (x + 0)`, discharge `x <= x + 0` by `rewrite Rplus_0_r; reflexivity`, then apply `Rplus_le_compat_l` to `Hs`.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00003,tactics,"For polynomial inequalities supported by a square, assert `0 <= Rsqr t` using `Rle_0_sqr`, then `unfold Rsqr in H` before calling `nra`; `nra` may fail if asked to prove the square nonnegativity itself.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00004,tactics,"For a goal of the form `0 <= (x - y) * (x - y)`, apply `Rle_0_sqr` directly; the product-shaped square is accepted without first rewriting it to `Rsqr` or `x ^ 2`.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00005,lemmas,"`sqrt_def` proves `sqrt a * sqrt a = a` from `0 <= a`; for concrete nonnegative numerals such as `2`, apply `sqrt_def` and discharge the side condition with `lra`.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00006,tactics,"For identities involving reciprocals such as `x * (1 / (2 * x))`, use `field_simplify`; expect a generated side goal `x <> 0`, then solve the main polynomial equality with `ring` and provide the nonzero hypothesis explicitly with `exact hx0`.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00007,pitfalls,"When a theorem statement already binds its variables and hypotheses in the displayed goal, do not call `intros` on them again; Rocq reports errors such as “x is already used.”",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00008,tactics,"For linear equalities over `C`, derive a variable by transitivity through a difference of the hypotheses (for example, `((2 * x + e) - (x + e))`), prove the algebraic identity with `ring`, then `rewrite` the hypotheses and finish with `ring`.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00009,tactics,"For a concrete `Rabs` goal whose argument is a rational arithmetic expression, first assert that the argument equals the intended numeral using `field`, then `rewrite` the assertion and apply `Rabs_right`.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00010,pitfalls,"In environments importing only `Reals`, `norm_num` may be unavailable; use `field` for closed rational equalities and `lra` for the resulting numerical nonnegativity side goals.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00011,lemmas,"For integer modular arguments, `Z.mod_pos_bound` gives `0 <= a mod b < b` from `0 < b`, while `Z.div_mod` gives `a = b * (a / b) + a mod b` from `b <> 0`; these support finite residue case splits.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00012,tactics,"To prove a square modulo a small positive integer has restricted residues, use `replace (a ^ 2) with (a * a) by ring`, bound `a mod n`, enumerate its values with `lia`, rewrite `a` using `Z.div_mod`, and simplify products with `Z.add_mod` and `Z.mul_mod`.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00013,pitfalls,"After `simpl` in integer modulo proofs, goals such as `0 mod 3 = 0` may remain; close them with `reflexivity` before starting the next bullet. In parser environments rejecting `change` or `set`, use `replace` and direct occurrences instead.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
experiments/playbooks/ace_noreflect.yaml,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,84bf574de33c1a44d2d6a1a11885f41daea7ab47f4a2c2789c5dff17bb291e09,rocq-00014,lemmas,"`Nat.divide d x` unfolds to `exists q, x = q * d`; for concrete divisibility goals, provide an explicit witness with `exists` and finish the resulting product equality using `simpl` and arithmetic tactics such as `lia`.",0,0,0,0,Exact default-render matches only; alternate rendering/citation wrappers can undercount. Exposure does not establish use or correctness.
