campaign,partition,arm,cells,unique_cells,expected_for_observed_replicates,complete_observed_replicates,solved,raw_completed_solves,solved_at_original_price_budget,original_price_budgets,cost,failed,censored,unknown_charge,cache_only_costs,models,book_versions,note
ace_attribution_20260912,train,THEOREM__luna-none-medium__gpt-5.6-luna,40,40,40,True,28,28,28,"[""0.1""]",0.81821062,0,0,0,0,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,train,THEOREM__terra-ace-medium__gpt-5.6-terra,40,40,40,True,25,32,32,"[""1.0""]",5.474728,0,0,0,0,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,train,THEOREM__terra-none-high__gpt-5.6-terra,8,8,40,False,4,6,6,"[""1.0""]",1.2172192,0,0,0,0,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,train,THEOREM__terra-none-low__gpt-5.6-terra,8,8,40,False,4,5,5,"[""1.0""]",1.251119,0,0,0,0,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,train,THEOREM__terra-none-medium__gpt-5.6-terra,40,40,40,True,21,33,33,"[""1.0""]",5.9526856,0,0,0,0,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,validation,THEOREM__luna-none-medium__gpt-5.6-luna,40,40,40,True,24,24,24,"[""0.1""]",0.7765120999999999,0,0,0,0,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,validation,THEOREM__luna-terra-book-medium__gpt-5.6-luna,8,8,40,False,3,3,3,"[""0.1""]",0.1939738,0,0,0,0,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,validation,THEOREM__terra-ace-medium__gpt-5.6-terra,40,40,40,True,20,30,30,"[""1.0""]",6.4513442,0,0,0,0,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,validation,THEOREM__terra-luna-book-medium__gpt-5.6-terra,8,8,40,False,2,4,4,"[""1.0""]",2.0394381999999998,0,0,0,0,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_attribution_20260912,validation,THEOREM__terra-none-medium__gpt-5.6-terra,40,40,40,True,21,29,29,"[""1.0""]",6.6106256,0,0,0,0,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_pilot,train,THEOREM__admission-off-r64__gpt-5.6-luna,2,2,40,False,2,2,2,"[""0.1""]",0.0036352599999999995,0,0,0,2,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_pilot,train,THEOREM__admission-on-r64__gpt-5.6-luna,2,2,40,False,2,2,2,"[""0.1""]",0.00363242,0,0,0,2,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_pilot,train,THEOREM__focused-off-r64__gpt-5.6-luna,2,2,40,False,2,2,2,"[""0.1""]",0.045586499999999995,0,0,0,2,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_pilot,train,THEOREM__focused-on-r64__gpt-5.6-luna,2,2,40,False,2,2,2,"[""0.1""]",0.027206759999999997,0,0,0,2,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_pilot,train,THEOREM__money-off-r64__gpt-5.6-luna,2,2,40,False,0,0,0,"[""0.1""]",0.21071054,0,0,0,2,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_pilot,train,THEOREM__money-on-r64__gpt-5.6-luna,2,2,40,False,0,0,0,"[""0.1""]",0.07985924,0,0,0,2,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_pilot,train,THEOREM__restart-off-r64__gpt-5.6-luna,2,2,40,False,0,0,0,"[""0.1""]",0.18702885999999996,0,0,0,2,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_pilot,train,THEOREM__restart-on-r64__gpt-5.6-luna,2,2,40,False,1,1,1,"[""0.1""]",0.1387744,0,0,0,2,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_bounded_validation,validation,THEOREM__integrated-r64__gpt-5.6-luna,40,40,40,True,25,25,25,"[""0.1""]",0.67804714,0,0,0,40,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_capacity_20260912,train,THEOREM__A-level0__gpt-5.6-luna,8,8,40,False,3,3,3,"[""0.1""]",0.26137718,0,0,0,8,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_capacity_20260912,train,THEOREM__A-level0__gpt-5.6-terra,8,8,40,False,3,3,3,"[""1.0""]",1.9818832,0,0,0,8,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_capacity_20260912,train,THEOREM__B-level0__gpt-5.6-luna,8,8,40,False,3,3,3,"[""0.1""]",0.19635086,0,0,0,8,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_capacity_20260912,train,THEOREM__B-level0__gpt-5.6-terra,8,8,40,False,2,3,3,"[""1.0""]",1.9197562000000001,0,0,0,8,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_capacity_20260912,train,THEOREM__C-level0__gpt-5.6-luna,8,8,40,False,4,4,4,"[""0.1""]",0.2176148,0,0,0,8,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_capacity_20260912,train,THEOREM__C-level0__gpt-5.6-terra,8,8,40,False,3,4,4,"[""1.0""]",1.773286,0,0,0,8,gpt-5.6-terra,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
ace_capacity_20260912,train,THEOREM__C-level1__gpt-5.6-luna,4,4,40,False,0,0,0,"[""0.2""]",0.4057887599999999,0,0,0,4,gpt-5.6-luna,1,Descriptive census; consult explicit expected_panels.json for unobserved replicates/configs. $0.10 qualification applied uniformly.
